Year,Fishing method,Licences,Days,Tonnes,DiscardNumber
1992,Line,N/A,N/A,N/A,N/A
1993,Line,N/A,N/A,N/A,N/A
1994,Line,45,1636,106.4,0
1995,Line,46,2458,181.12,0
1996,Line,166,8530,357.74,43092
1997,Line,213,13592,461.42,102749.5
1998,Line,292,15491,518.39,118630.5
1999,Line,322,16620,546.95,132048
2000,Line,306,17825,494.07,130121
2001,Line,302,19772,587.95,152344
2002,Line,347,22337,657.54,191790
2003,Line,353,22890,676.1,199325
2004,Line,368,23420,685.85,206952
2005,Line,352,23293,723.56,196775
2006,Line,291,19311,698.72,166998
2007,Line,261,17398,647.61,143859
2008,Line,254,15693,668.83,125338
2009,Line,236,15071,685.22,118757
2010,Line,221,13851,651.52,136947
2011,Line,188,12591,554.87,127136
2012,Line,172,11485,459.98,98954
2013,Line,159,10975,428.91,95486
2014,Line,143,10257,426.02,85356
2015,Line,135,8950,347.42,87078
2016,Line,143,9970,483.28,89718
2017,Line,156,11143,509.32,104625
2018,Line,146,11575,530.32,103158
2019,Line,142,11233,522.47,93053
2020,Line,127,7032,303.59,63286
2021,Line,116,9270,471.91,77000
2022,Line,121,8513,390.39,71005.3
2023,Line,42,595,16.32,5724
